datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
df_num_cat_without_ss,SGD_Regression,cross_val_score,37281.213687132185,30514.0399592174,6899.89763516508,None
df_num_cat_without_ss,Ridge_Regression,cross_val_score,21940.016383213257,21064.312288935278,3066.6505199938892,None
df_num_cat_without_ss,XGBoost_Regression,cross_val_score,26053.64816682519,22776.547679090752,3520.3115832509934,None
df_num_cat_without_ss,LightGBM_Regression,cross_val_score,25427.297475232193,21873.38571569199,3411.276582597468,None
df_num_cat_without_ss,Voting_Regressor,cross_val_score,24314.179793839758,20752.942705097277,4164.218221445323,None
df_num_cat_without_ss,SGD_Regression,kfold,23444.06800705524,30721.95369624815,4016.0540565070855,None
df_num_cat_without_ss,Ridge_Regression,kfold,17621.688664598558,21081.3844109742,2415.103743010804,None
df_num_cat_without_ss,XGBoost_Regression,kfold,18302.4218817174,22568.532027976227,2129.031067566869,None
df_num_cat_without_ss,LightGBM_Regression,kfold,18123.51980629614,21844.93191353036,2496.744822391262,None
df_num_cat_without_ss,Voting_Regressor,kfold,16445.35512745031,21034.52510514031,2883.615500714673,None
df_num_cat_without_ss,SGD_Regression,repeatedkfold,22092.87665886331,30662.40576313271,5214.752961010189,None
df_num_cat_without_ss,Ridge_Regression,repeatedkfold,15408.169489875254,21251.21632790852,2926.272393696135,None
df_num_cat_without_ss,XGBoost_Regression,repeatedkfold,16651.73942194364,22988.442366323234,3352.6721008823947,None
df_num_cat_without_ss,LightGBM_Regression,repeatedkfold,17095.04824147393,22246.376587828057,3255.7651928992277,None
df_num_cat_without_ss,Voting_Regressor,repeatedkfold,13968.47945950104,21180.28843530861,3736.78603569402,None
df_num_cat_without_ss,SGD_Regression,stratifiedkfold,23437.097139684585,30516.303431667824,5644.295258387918,None
df_num_cat_without_ss,Ridge_Regression,stratifiedkfold,16904.73301584597,21152.640610279643,1873.2644095709893,None
df_num_cat_without_ss,XGBoost_Regression,stratifiedkfold,18212.349695989284,22726.581313309045,3039.678803482164,None
df_num_cat_without_ss,LightGBM_Regression,stratifiedkfold,17545.317825914604,22174.519554259816,2448.9667226769852,None
df_num_cat_without_ss,Voting_Regressor,stratifiedkfold,16137.26747819098,21088.466560087792,2838.1634977127387,None
df_num_cat_without_ss,SGD_Regression,shufflesplit,29066.07582242988,31683.685951081792,2378.1025672289966,None
df_num_cat_without_ss,Ridge_Regression,shufflesplit,18224.04070345925,21003.53503816962,1695.298249354563,None
df_num_cat_without_ss,XGBoost_Regression,shufflesplit,20321.96761379126,22683.134483757774,2013.1376540362294,None
df_num_cat_without_ss,LightGBM_Regression,shufflesplit,19177.636937792842,21685.701556483553,2155.9080876368002,None
df_num_cat_without_ss,Voting_Regressor,shufflesplit,17896.252311692962,20854.866416618876,2426.8572984855587,None
