,datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
0,df_normalized_scaled,SGD_Regression,cross_val_score,194200.0523128971,187948.990558101,7623.887119464792,None
1,df_normalized_scaled,Ridge_Regression,cross_val_score,20129.535039252172,20812.299939467375,3294.830693267971,None
2,df_normalized_scaled,GBR_Regression,cross_val_score,17526.377489266215,20862.974051751586,4418.980669593444,None
3,df_normalized_scaled,LightGBM_Regression,cross_val_score,20431.447010037373,22926.344573012768,4781.545236856845,None
4,df_normalized_scaled,Voting_Regressor,cross_val_score,54791.501753203855,51446.774902896555,5431.528950071192,None
0,df_normalized_scaled,SGD_Regression,kfold,179235.4847025479,188568.332204105,6496.231228310773,None
1,df_normalized_scaled,Ridge_Regression,kfold,16101.203820478699,20158.45618074535,2610.161845010792,None
2,df_normalized_scaled,GBR_Regression,kfold,14842.706705581604,19631.11139465248,2522.670004407643,None
3,df_normalized_scaled,LightGBM_Regression,kfold,17632.105391970254,21936.851189383815,3005.515440523795,None
4,df_normalized_scaled,Voting_Regressor,kfold,47102.845578078435,51180.455410282506,2589.5912070249533,None
0,df_normalized_scaled,SGD_Regression,repeatedkfold,170723.5316797676,188571.35709804881,6289.120551114877,None
1,df_normalized_scaled,Ridge_Regression,repeatedkfold,14189.020427333011,20327.852967246603,2665.792135938872,None
2,df_normalized_scaled,GBR_Regression,repeatedkfold,15652.895589556485,20299.46175243892,2884.625260886951,None
3,df_normalized_scaled,LightGBM_Regression,repeatedkfold,16712.114051940047,22028.32627015251,3113.0210718667317,None
4,df_normalized_scaled,Voting_Regressor,repeatedkfold,43810.531346921285,51310.0302078631,2862.7939791379176,None
0,df_normalized_scaled,SGD_Regression,stratifiedkfold,175783.2651953597,188518.9941056631,7408.923467503364,None
1,df_normalized_scaled,Ridge_Regression,stratifiedkfold,16056.919471032932,20324.573495961977,3259.3212062933517,None
2,df_normalized_scaled,GBR_Regression,stratifiedkfold,16594.43984486969,19869.231832359583,3052.678914153726,None
3,df_normalized_scaled,LightGBM_Regression,stratifiedkfold,17942.31007425449,22315.954119829883,3467.0077636810634,None
4,df_normalized_scaled,Voting_Regressor,stratifiedkfold,47908.07977744186,51325.66961402499,3038.8699306916214,None
0,df_normalized_scaled,SGD_Regression,shufflesplit,183298.30173681965,187923.17086254846,2442.7700092260743,None
1,df_normalized_scaled,Ridge_Regression,shufflesplit,18568.122109230248,20740.67118539605,1483.175526242043,None
2,df_normalized_scaled,GBR_Regression,shufflesplit,18481.365118571837,20967.018001788107,1768.353596280979,None
3,df_normalized_scaled,LightGBM_Regression,shufflesplit,19852.522421452766,23230.00239792016,1738.6358958894598,None
4,df_normalized_scaled,Voting_Regressor,shufflesplit,49245.09499578265,51597.23608972538,1394.5068491660359,None
0,df_normalized_not_scaled,SGD_Regression,cross_val_score,49929.27681975797,44982.41858375496,6637.809333656346,None
1,df_normalized_not_scaled,Ridge_Regression,cross_val_score,20046.39450157478,20735.79078706949,3200.3054361843074,None
2,df_normalized_not_scaled,GBR_Regression,cross_val_score,18808.174228945198,20169.634310701553,4071.055654218854,None
3,df_normalized_not_scaled,LightGBM_Regression,cross_val_score,20587.742598583198,22545.71632419165,4585.190277283849,None
4,df_normalized_not_scaled,Voting_Regressor,cross_val_score,23943.02998515538,22458.221345878934,4797.454147728232,None
0,df_normalized_not_scaled,SGD_Regression,kfold,37671.9020282556,43927.84947555627,3257.0546390178206,None
1,df_normalized_not_scaled,Ridge_Regression,kfold,16594.4963755697,20084.137423313397,2587.0791112092015,None
2,df_normalized_not_scaled,GBR_Regression,kfold,17297.885136668036,20386.484635195287,2761.144632512793,None
3,df_normalized_not_scaled,LightGBM_Regression,kfold,16299.071756211224,21561.253785698304,3147.8677517247256,None
4,df_normalized_not_scaled,Voting_Regressor,kfold,18420.082112231725,21971.87354613693,2355.394882434316,None
0,df_normalized_not_scaled,SGD_Regression,repeatedkfold,34078.14413413102,43509.6777620914,4412.049318814795,None
1,df_normalized_not_scaled,Ridge_Regression,repeatedkfold,14207.658043142023,20258.672114398545,2618.477023554731,None
2,df_normalized_not_scaled,GBR_Regression,repeatedkfold,15100.496236287607,20259.495766076892,2800.7525563165877,None
3,df_normalized_not_scaled,LightGBM_Regression,repeatedkfold,16299.071756211224,22090.072215369284,3164.5700219451314,None
4,df_normalized_not_scaled,Voting_Regressor,repeatedkfold,16292.93809105091,22005.608273613947,3127.450244682157,None
0,df_normalized_not_scaled,SGD_Regression,stratifiedkfold,39835.02990968531,43128.39212035079,2184.9831748065626,None
1,df_normalized_not_scaled,Ridge_Regression,stratifiedkfold,16457.078582874587,20253.570796462118,3150.598640181723,None
2,df_normalized_not_scaled,GBR_Regression,stratifiedkfold,15973.253180164096,20201.48277844044,3000.7860081372314,None
3,df_normalized_not_scaled,LightGBM_Regression,stratifiedkfold,17099.06069582611,21799.87614868351,3374.255407713753,None
4,df_normalized_not_scaled,Voting_Regressor,stratifiedkfold,18510.97654639756,21859.187326077932,3122.161887447919,None
0,df_normalized_not_scaled,SGD_Regression,shufflesplit,36970.12703150209,43165.0637237375,3159.5674604425312,None
1,df_normalized_not_scaled,Ridge_Regression,shufflesplit,18474.922381321267,20739.392460396153,1517.8791121672105,None
2,df_normalized_not_scaled,GBR_Regression,shufflesplit,17585.90668134236,20865.847557572906,2033.8933304869468,None
3,df_normalized_not_scaled,LightGBM_Regression,shufflesplit,19830.043169265977,23219.525610782395,1773.269622435966,None
4,df_normalized_not_scaled,Voting_Regressor,shufflesplit,18843.60140131506,22291.561953271063,1971.9249268613285,None
